Team name,Submission Time,Preference Estimation,Review Generation,Overall Quality
RankMe, 2025-01-03, 0.6823, 0.8087, 0.7455
伸腿瞪眼丸, 2025-01-06, 0.8014, 0.8021, 0.8017
LiLaiLai, 2025-01-07, 0.7053, 0.8094, 0.7573
AwesomeAgent, 2025-01-07, 0.6856, 0.8096, 0.7476
Civilization, 2025-01-08, 0.7007, 0.8162, 0.7584
AwesomeAgent, 2025-01-08, 0.8498, 0.8680, 0.8589
梦幻泡影,2025-01-09,0.7917,0.8741,0.8329
那我问你,2025-01-09,0.8397,0.7222,0.7809
KON,2025-01-09,0.8453,0.8365,0.8409
LiLaiLai,2025-01-10,0.7937,0.8728,0.8332
JustRec,2025-01-10,0.7960,0.8717,0.8338
Agent o1,2025-01-10,0.7960,0.8711,0.8335
ASC,2025-01-10,0.8975,0.8948,0.8962
JiuWen,2025-01-10,0.7907,0.8746,0.8327
tsdxgxxb,2025-01-10,0.7953,0.8712,0.8333
LiLaiLai,2025-01-11,0.7877,0.8748,0.8312
AwesomeAgent,2025-01-11,0.8563,0.8678,0.8621
何解？和解！,2025-01-11,0.7923,0.8752,0.8338
伸腿瞪眼丸,2025-01-11,0.3127,0.6056,0.4591
AgentFlow,2025-01-11,0.7383,0.8377,0.7880
MoAgent,2025-01-11,0.7490,0.8444,0.7967
JiuWen,2025-01-11,0.7400,0.8315,0.7857
LiLaiLai,2025-01-12,0.7973,0.8726,0.8350
WiseAgents,2025-01-12,0.8228,0.8500,0.8364
ASC,2025-01-12,0.8997,0.8890,0.8943
FollowSen,2025-01-12,0.7950,0.8715,0.8332
天天睡不着,2025-01-12,0.6833,0.8106,0.7470
何解？和解！,2025-01-12,0.3127,0.6056,0.4591
DummyAgent,2025-01-12,0.7200,0.8216,0.7708
JiuWen,2025-01-12,0.7143,0.8169,0.7656
KON,2025-01-12,0.7820,0.8023,0.7921
AwesomeAgent,2025-01-12,0.8550,0.8818,0.8684
QvQ,2025-01-13,0.7950,0.8752,0.8351
LiLaiLai,2025-01-13,0.7960,0.8725,0.8343
pp,2025-01-13,0.7960,0.8736,0.8348
UniqueData,2025-01-13,0.5257,0.6955,0.6106
AgentFlow,2025-01-13,0.7950,0.8758,0.8354
Spartan,2025-01-13,0.3127,0.6056,0.4591
Agent o1,2025-01-13,0.7963,0.8773,0.8368
ASC,2025-01-13,0.3127,0.6056,0.4591
FollowSen,2025-01-13,0.3127,0.6056,0.4591
Santiago,2025-01-13,0.8153,0.8759,0.8456
这点预算我很难做队,2025-01-13,0.7977,0.8723,0.8350
那我问你,2025-01-13,0.8180,0.5917,0.7048
何解？和解！,2025-01-13,0.5127,0.6056,0.5591
DummyAgent,2025-01-13,0.8407,0.8699,0.8553
Agent42,2025-01-13,0.8000,0.8779,0.8389
SDU-AI,2025-01-13,0.8448,0.8823,0.8636
AwesomeAgent,2025-01-13,0.8023,0.8827,0.8425
伸腿瞪眼丸,2025-01-13,0.8180,0.7014,0.7597
try1try,2025-01-13,0.7774,0.8723,0.8249
QvQ,2025-01-14,0.8292,0.8782,0.8537
LiLaiLai,2025-01-14,0.7953,0.8726,0.8340
pp,2025-01-14,0.7953,0.8725,0.8339
UniqueData,2025-01-14,0.5113,0.6941,0.6027
AgentFlow,2025-01-14,0.8107,0.8813,0.8460
Spartan,2025-01-14,0.6950,0.8199,0.7574
abc2025,2025-01-14,0.8020,0.8753,0.8387
WiseAgents,2025-01-14,0.8707,0.8939,0.8823
ASC,2025-01-14,0.3127,0.6056,0.4591
FollowSen,2025-01-14,0.8173,0.6915,0.7544
fight,2025-01-14,0.7990,0.8729,0.8360
天天睡不着,2025-01-14,0.7947,0.8736,0.8341
Sunshine,2025-01-14,0.7960,0.8748,0.8354
那我问你,2025-01-14,0.8180,0.5917,0.7048
何解？和解！,2025-01-14,0.8600,0.7933,0.8267
DummyAgent,2025-01-14,0.8458,0.8664,0.8561
tsdxgxxb,2025-01-14,0.8120,0.8664,0.8392
AwesomeAgent,2025-01-14,0.8563,0.8814,0.8689
伸腿瞪眼丸,2025-01-14,0.3127,0.6056,0.4591
njust607,2025-01-16,0.8295,0.8826,0.8560
Agent42,2025-01-16,0.8256,0.8655,0.8455
Agent o1,2025-01-16,0.8531,0.8838,0.8685
FollowSen,2025-01-16,0.8047,0.8788,0.8417
JiuWen,2025-01-16,0.8210,0.8686,0.8448
CRUISE,2025-01-16,0.7970,0.8755,0.8362
Spartan,2025-01-16,0.7905,0.8756,0.8330
you_are_right,2025-01-16,0.7937,0.8754,0.8345
那我问你,2025-01-16,0.8503,0.8755,0.8629
AgentFlow,2025-01-16,0.3127,0.6056,0.4591
AwesomeAgent,2025-01-16,0.8563,0.9027,0.8795
tsdxgxxb,2025-01-16,0.8113,0.8678,0.8396
timeout,2025-01-16,0.8577,0.8735,0.8656
ASC,2025-01-16,0.8980,0.8883,0.8931
AgentGo,2025-01-16,0.8027,0.8768,0.8397
Santiago,2025-01-16,0.8163,0.8763,0.8463
LiLaiLai,2025-01-16,0.8023,0.8707,0.8365
GeniAgent - YAN TheMan,2025-01-16,0.3127,0.6056,0.4591
DummyAgent,2025-01-16,0.8503,0.8790,0.8647
pp,2025-01-16,0.8017,0.8710,0.8363
何解？和解！,2025-01-16,0.8550,0.7896,0.8223
timeout,2025-01-17,0.8637,0.8799,0.8718
AgentFlow,2025-01-17,0.3127,0.6056,0.4591
baibulan,2025-01-17,0.7910,0.8714,0.8312
Cavaliers_Baseline,2025-01-17,0.7920,0.8712,0.8316
ASC,2025-01-17,0.8910,0.8956,0.8933
FollowSen,2025-01-17,0.8795,0.8833,0.8814
Santiago,2025-01-17,0.8434,0.8865,0.8649
tt_refugee,2025-01-17,0.8712,0.8892,0.8802
何解？和解！,2025-01-17,0.7800,0.7950,0.7875
JiuWen,2025-01-17,0.8277,0.8890,0.8583
tsdxgxxb,2025-01-17,0.8087,0.8670,0.8379
SDU-AI,2025-01-17,0.8743,0.8753,0.8748
AwesomeAgent,2025-01-17,0.8703,0.9025,0.8864
伸腿瞪眼丸,2025-01-17,0.8180,0.7025,0.7603
SleePy,2025-01-17,0.8347,0.8706,0.8526
FollowSen,2025-01-18,0.8947,0.8846,0.8897
JiuWen,2025-01-18,0.3127,0.6056,0.4591
timeout,2025-01-18,0.3127,0.6056,0.4591
SDU-AI,2025-01-18,0.8653,0.8727,0.8690
try1try,2025-01-18,0.8100,0.8660,0.8380
Agent o1,2025-01-18,0.8717,0.8834,0.8775
那我问你,2025-01-18,0.8180,0.5838,0.7009
何解？和解！,2025-01-18,0.8623,0.8758,0.8691
伸腿瞪眼丸,2025-01-18,0.8180,0.7025,0.7603
AgentFlow,2025-01-18,0.3127,0.6056,0.4591
AgentGo,2025-01-18,0.8637,0.8819,0.8728
Augent,2025-01-18,0.7940,0.8753,0.8346
fight,2025-01-18,0.7827,0.8543,0.8185
ASC,2025-01-18,0.8990,0.8944,0.8967
车厘子跳楼了！跳楼了！,2025-01-19,0.7807,0.8635,0.8221
njust607,2025-01-19,0.8200,0.8657,0.8429
Agent42,2025-01-19,0.8168,0.8541,0.8354
Agent o1,2025-01-19,0.8553,0.8750,0.8652
mmttuu,2025-01-19,0.8017,0.8750,0.8383
tt_refugee,2025-01-19,0.8965,0.8874,0.8919
JiuWen,2025-01-19,0.8705,0.8762,0.8734
fight,2025-01-19,0.7823,0.8718,0.8271
Big Watermelon Team,2025-01-19,0.7880,0.8708,0.8294
那我问你,2025-01-19,0.8523,0.8734,0.8629
伸腿瞪眼丸,2025-01-19,0.8180,0.7025,0.7603
RecHackers,2025-01-19,0.8180,0.8742,0.8461
AgentFlow,2025-01-19,0.3127,0.6056,0.4591
AwesomeAgent,2025-01-19,0.8790,0.9014,0.8902
ASC,2025-01-19,0.8943,0.8943,0.8943
XDU309,2025-01-19,0.8252,0.8827,0.8539
SDU-AI,2025-01-19,0.8791,0.8732,0.8761
这点预算我很难做队,2025-01-19,0.8373,0.8577,0.8475
何解？和解！,2025-01-19,0.3127,0.6056,0.4591
QvQ,2025-01-20,0.8247,0.8719,0.8483
LiLaiLai,2025-01-20,0.7973,0.8704,0.8339
qia1gonow,2025-01-20,0.7974,0.8292,0.8133
timeout,2025-01-20,0.8823,0.8865,0.8844
UniqueData,2025-01-20,0.8415,0.8368,0.8391
AgentFlow,2025-01-20,0.3127,0.6056,0.4591
SSAgent,2025-01-20,0.3127,0.6056,0.4591
IDMG,2025-01-20,0.7913,0.8736,0.8325
ASC,2025-01-20,0.3127,0.6056,0.4591
Sunday,2025-01-20,0.7923,0.8743,0.8333
Santiago,2025-01-20,0.8525,0.8903,0.8714
EvolutionAgent,2025-01-20,0.9045,0.8795,0.8920
RecHackers,2025-01-20,0.8242,0.8769,0.8505
那我问你,2025-01-20,0.8503,0.8751,0.8627
njust607,2025-01-20,0.8458,0.8811,0.8635
try1try,2025-01-20,0.8132,0.8656,0.8394
AgentFlow,2025-01-21,0.8230,0.8814,0.8522
Agent o1,2025-01-21,0.8717,0.8839,0.8778
ASC,2025-01-21,0.8873,0.8945,0.8909
EvolutionAgent,2025-01-21,0.7203,0.7920,0.7561
DummyAgent,2025-01-21,0.8523,0.8810,0.8667
JiuWen,2025-01-21,0.8938,0.8755,0.8847
AwesomeAgent,2025-01-21,0.8963,0.8988,0.8976
HHH,2025-01-21,0.5463,0.7352,0.6408
QvQ,2025-01-21,0.8178,0.8760,0.8469
qia1gonow,2025-01-21,0.8360,0.8561,0.8461
timeout,2025-01-21,0.8982,0.8888,0.8935
Spartan,2025-01-21,0.8502,0.8712,0.8607
XDU309,2025-01-21,0.8170,0.6056,0.7113
you_are_right,2025-01-21,0.5300,0.6994,0.6147
Santiago,2025-01-21,0.8225,0.8690,0.8457
YD&B,2025-01-21,0.7907,0.8728,0.8318
tt_refugee,2025-01-21,0.8975,0.8948,0.8961
SDU-AI,2025-01-21,0.8758,0.8783,0.8771
mmttuu,2025-01-21,0.8428,0.8809,0.8619
MagicAgent,2025-01-21,0.8370,0.8722,0.8546
njust607,2025-01-22,0.8158,0.8599,0.8379
Agent42,2025-01-22,0.8373,0.8749,0.8561
FollowSen,2025-01-22,0.8882,0.8794,0.8838
tt_refugee,2025-01-22,0.8963,0.8911,0.8937
WorkHard!,2025-01-22,0.7830,0.8639,0.8234
JiuWen,2025-01-22,0.8950,0.9031,0.8990
AgentZL,2025-01-22,0.7813,0.8621,0.8217
Big Watermelon Team,2025-01-22,0.8022,0.8484,0.8253
CYZZZ,2025-01-22,0.8395,0.8749,0.8572
Sociable,2025-01-22,0.8540,0.8786,0.8663
QvQ,2025-01-22,0.6335,0.7806,0.7071
CBA,2025-01-22,0.8393,0.6056,0.7224
AgentFlow,2025-01-22,0.3127,0.6056,0.4591
ASC,2025-01-22,0.3127,0.6056,0.4591
JustRec,2025-01-22,0.3127,0.6056,0.4591
XDU309,2025-01-22,0.8057,0.6065,0.7061
Santiago,2025-01-22,0.8117,0.8557,0.8337
LiLaiLai,2025-01-22,0.3127,0.6056,0.4591
pp,2025-01-22,0.3127,0.6056,0.4591
qia1gonow,2025-01-23,0.8447,0.8718,0.8583
AgentFlow,2025-01-23,0.3127,0.6056,0.4591
JustRec,2025-01-23,0.3127,0.6056,0.4591
FengFengFeng,2025-01-23,0.8863,0.8664,0.8764
jw,2025-01-23,0.8947,0.8960,0.8953
AgentGo,2025-01-23,0.8887,0.8715,0.8801
Cavaliers_Baseline,2025-01-23,0.8423,0.8813,0.8618
FollowSen,2025-01-23,0.8898,0.8815,0.8856
Santiago,2025-01-23,0.8180,0.8670,0.8425
kkt-ustc,2025-01-23,0.8357,0.8761,0.8559
这点预算我很难做队,2025-01-23,0.8180,0.5237,0.6709
Tone,2025-01-23,0.8085,0.8719,0.8402
何解？和解！,2025-01-23,0.8963,0.9006,0.8985
Agent Is All You Need,2025-01-23,0.7933,0.8704,0.8319
Big Watermelon Team,2025-01-23,0.8037,0.8560,0.8298
Agent42,2025-01-23,0.8427,0.8809,0.8618
AwesomeAgent,2025-01-23,0.8940,0.9010,0.8975
one!,2025-01-23,0.8458,0.8731,0.8595
MagicAgent,2025-01-23,0.3127,0.6056,0.4591
SleePy,2025-01-23,0.3127,0.6056,0.4591
MagicAgent3,2025-01-23,0.3127,0.6056,0.4591
HHH,2025-01-23,0.8495,0.8823,0.8659
LiLaiLai,2025-01-24,0.3127,0.6056,0.4591
jack,2025-01-24,0.3127,0.6056,0.4591
timeout,2025-01-24,0.8660,0.9011,0.8836
pp,2025-01-24,0.3127,0.6056,0.4591
AgentFlow,2025-01-24,0.8273,0.8767,0.8520
AgentGo,2025-01-24,0.8923,0.8571,0.8747
MoAgent,2025-01-24,0.8163,0.8814,0.8489
Cavaliers_Baseline,2025-01-24,0.8440,0.8834,0.8637
ASC,2025-01-24,0.8940,0.8959,0.8950
FollowSen,2025-01-24,0.8917,0.8821,0.8869
CRUISE,2025-01-24,0.8437,0.8769,0.8603
CYZZZ,2025-01-24,0.8177,0.8849,0.8513
you_are_right,2025-01-24,0.5327,0.6991,0.6159
Santiago,2025-01-24,0.8352,0.8763,0.8557
Tone,2025-01-24,0.8072,0.8761,0.8416
tt_refugee,2025-01-24,0.8970,0.9050,0.9010
何解？和解！,2025-01-24,0.8923,0.8996,0.8960
Agent Is All You Need,2025-01-24,0.8197,0.8815,0.8506
Agent42,2025-01-24,0.8447,0.8818,0.8632
AwesomeAgent,2025-01-24,0.8473,0.8361,0.8417
njust607,2025-01-24,0.6767,0.7167,0.6967
one!,2025-01-24,0.7162,0.7804,0.7483
MagicAgent,2025-01-24,0.3127,0.6056,0.4591
kkt-ustc,2025-01-25,0.8760,0.8941,0.8850
Agent Is All You Need,2025-01-25,0.8053,0.7640,0.7847
SSAgent,2025-01-25,0.7763,0.8676,0.8220
Agent42,2025-01-25,0.8590,0.8719,0.8654
FollowSen,2025-01-25,0.9057,0.8954,0.9005
Augent,2025-01-25,0.8283,0.7795,0.8039
tt_refugee,2025-01-25,0.8970,0.9052,0.9011
HHH,2025-01-25,0.8453,0.8708,0.8580
Spartan,2025-01-25,0.8508,0.8711,0.8609
Cavaliers_Baseline,2025-01-25,0.8380,0.8776,0.8578
likouzongdongyuan,2025-01-25,0.8800,0.8939,0.8869
伸腿瞪眼丸,2025-01-25,0.8743,0.8965,0.8854
逛一圈,2025-01-25,0.3127,0.6056,0.4591
jw,2025-01-25,0.8965,0.9023,0.8994
AgentGo,2025-01-25,0.8998,0.8913,0.8955
MoAgent,2025-01-25,0.7980,0.8725,0.8353
SDU-AI,2025-01-25,0.7985,0.6072,0.7029
Santiago,2025-01-25,0.8348,0.8720,0.8534
LiLaiLai,2025-01-25,0.3127,0.6056,0.4591
DummyAgent,2025-01-25,0.8643,0.8790,0.8716
xijiangyue,2025-01-25,0.3127,0.6056,0.4591
qingyuan,2025-01-25,0.7060,0.7867,0.7463
pp,2025-01-25,0.3127,0.6056,0.4591
CRSAgent,2025-01-26,0.8548,0.8733,0.8641
AgentGo,2025-01-26,0.8722,0.8761,0.8742
WiseAgents,2025-01-26,0.8910,0.8960,0.8935
ASC,2025-01-26,0.3127,0.6056,0.4591
CRUISE,2025-01-26,0.8370,0.8751,0.8560
ustc-666,2025-01-26,0.8787,0.8946,0.8867
何解？和解！,2025-01-26,0.9120,0.9053,0.9086
Agent Is All You Need,2025-01-26,0.8170,0.7655,0.7912
DummyAgent,2025-01-26,0.8642,0.8799,0.8720
qingyuan,2025-01-26,0.8403,0.8702,0.8553
SDU-AI,2025-01-26,0.8707,0.8752,0.8729
伸腿瞪眼丸,2025-01-26,0.8632,0.8910,0.8771
one!,2025-01-26,0.8790,0.8731,0.8761
try1try,2025-01-26,0.8443,0.8726,0.8585
LAgeNinja,2025-01-26,0.8665,0.8839,0.8752
锐欣咖啡,2025-01-27,0.7960,0.8715,0.8337
LiLaiLai,2025-01-27,0.7247,0.8271,0.7759
xijiangyue,2025-01-27,0.7907,0.7365,0.7636
逛一圈,2025-01-27,0.7286,0.8249,0.7768
AgentFlow,2025-01-27,0.3127,0.6056,0.4591
qia0gonow,2025-01-27,0.5300,0.6978,0.6139
jw,2025-01-27,0.8990,0.9064,0.9027
WiseAgents,2025-01-27,0.8752,0.8197,0.8474
ASC,2025-01-27,0.9033,0.9060,0.9047
Santiago,2025-01-27,0.8475,0.8914,0.8695
IE-GENE,2025-01-27,0.8394,0.8671,0.8533
这点预算我很难做队,2025-01-27,0.3127,0.6056,0.4591
ustc-666,2025-01-27,0.8737,0.8903,0.8820
DummyAgent,2025-01-27,0.8603,0.7446,0.8025
Big Watermelon Team,2025-01-27,0.8053,0.8747,0.8400
zzzzzm,2025-01-27,0.3127,0.6056,0.4591
Agent42,2025-01-27,0.8762,0.8889,0.8825
SDU-AI,2025-01-27,0.8741,0.8708,0.8725
伸腿瞪眼丸,2025-01-27,0.8795,0.8964,0.8879
one!,2025-01-27,0.8761,0.8516,0.8639
MagicAgent3,2025-01-27,0.8460,0.8770,0.8615
Agent42,2025-01-28,0.8737,0.8911,0.8824
打哈哈,2025-01-28,0.7912,0.8721,0.8316
tt_refugee,2025-01-28,0.8968,0.9053,0.9011
qia1gonow,2025-01-28,0.8207,0.8096,0.8151
Sociable,2025-01-28,0.8393,0.6056,0.7224
Cavaliers_Baseline,2025-01-28,0.8057,0.8552,0.8304
伸腿瞪眼丸,2025-01-28,0.8817,0.8964,0.8890
ustc-agent,2025-01-28,0.8807,0.8969,0.8888
JiuWen,2025-01-28,0.9015,0.9042,0.9028
ASC,2025-01-28,0.7363,0.8114,0.7739
jw,2025-01-28,0.8918,0.9055,0.8987
SDU-AI,2025-01-28,0.8827,0.8772,0.8799
MINE-AGENT,2025-01-28,0.7727,0.8602,0.8164
这点预算我很难做队,2025-01-28,0.3127,0.6056,0.4591
try1try,2025-01-28,0.6950,0.7832,0.7391
DummyAgent,2025-01-28,0.8767,0.8914,0.8840
pp,2025-01-28,0.7958,0.8647,0.8303
何解？和解！,2025-01-28,0.7407,0.8115,0.7761
锐欣咖啡,2025-01-29,0.8130,0.8856,0.8493
qia1gonow,2025-01-29,0.8300,0.8696,0.8498
xijiangyue,2025-01-29,0.7798,0.7107,0.7452
AgentZL,2025-01-29,0.3127,0.6056,0.4591
JiuWen,2025-01-29,0.8910,0.8973,0.8941
jw,2025-01-29,0.8538,0.9081,0.8810
CRUISE,2025-01-29,0.8770,0.8859,0.8814
CYZZZ,2025-01-29,0.8312,0.5496,0.6904
Santiago,2025-01-29,0.8522,0.8909,0.8715
这点预算我很难做队,2025-01-29,0.8180,0.5565,0.6873
ustc-agent,2025-01-29,0.8827,0.8969,0.8898
何解？和解！,2025-01-29,0.9130,0.9047,0.9089
Agent42,2025-01-29,0.8753,0.8937,0.8845
伸腿瞪眼丸,2025-01-29,0.8778,0.8961,0.8870
锐欣咖啡,2025-01-30,0.8173,0.6972,0.7573
qia1gonow,2025-01-30,0.7875,0.7679,0.7777
AgentFlow,2025-01-30,0.8137,0.8772,0.8455
AgentZL,2025-01-30,0.8173,0.8777,0.8475
XDU309,2025-01-30,0.8383,0.8900,0.8641
CRSAgent,2025-01-30,0.8698,0.8809,0.8753
MoAgent,2025-01-30,0.8073,0.8851,0.8462
CRUISE,2025-01-30,0.8803,0.8910,0.8857
CYZZZ,2025-01-30,0.8288,0.8854,0.8571
这点预算我很难做队,2025-01-30,0.3127,0.6056,0.4591
Sunshine,2025-01-30,0.8427,0.8789,0.8608
zzzzzm,2025-01-30,0.3127,0.6056,0.4591
Agent42,2025-01-30,0.8577,0.8874,0.8725
CBA,2025-01-30,0.8627,0.8847,0.8737
one!,2025-01-31,0.8829,0.8777,0.8803
锐欣咖啡,2025-01-31,0.8493,0.8874,0.8684
SDU-AI,2025-01-31,0.8807,0.8765,0.8786
Sociable,2025-01-31,0.8813,0.8901,0.8857
伸腿瞪眼丸,2025-01-31,0.8815,0.8980,0.8898
CBA,2025-01-31,0.8493,0.7913,0.8203
伸腿瞪眼丸,2025-01-31,0.8855,0.9013,0.8934
Sndj,2025-01-31,0.8850,0.9016,0.8933
RankMe,2025-01-31,0.8455,0.8672,0.8563
JiuWen,2025-01-31,0.8947,0.9045,0.8996
ustc-agent,2025-01-31,0.8930,0.8944,0.8937
DummyAgent,2025-01-31,0.8853,0.8949,0.8901
何解？和解！,2025-01-31,0.8867,0.8920,0.8893